# Логотипы без apple/26 вариантов — iOS 26 liquid glass
# Формат: App Store ID  имя-файла (без расширения)

# Дизайн
1101848914 flipaclip

# Образование
570060128 duolingo

# Продуктивность
1232780281 notion
909319292 google-calendar
1353634006 google-tasks

# Видеозвонки
1096918571 google-meet
318698524 google-voice

# Путешествия
498958864 aviasales

# Здоровье
896501514 period-tracker
6747944165 prodoctors

# Документы / Госуслуги
1367959794 gosuslugi

# Страхование
1449578663 sravni
